Player,QO,Length,Total,AAV,Year,,,
Garrett Richards,0,1,10000000,10000000,2021,,,
James Paxton,0,1,8500000,8500000,2021,,,
J.A. Happ,0,1,8000000,8000000,2021,,,
Jose Quintana,0,1,8000000,8000000,2021,,,
Robbie Ray,0,1,8000000,8000000,2021,,,
Adam Wainwright,0,1,8000000,8000000,2021,,,
Chris Archer,0,1,6500000,6500000,2021,,,
Jake Arrieta,0,1,6000000,6000000,2021,,,
Anthony DeSclafani,0,1,6000000,6000000,2021,,,
Jon Lester,0,1,5000000,5000000,2021,,,
Martin Perez,0,1,5000000,5000000,2021,,,
Chase Anderson,0,1,4000000,4000000,2021,,,
Michael Fiers,0,1,3500000,3500000,2021,,,
Tyler Chatwood,0,1,3000000,3000000,2021,,,
Michael Wacha,0,1,3000000,3000000,2021,,,
Alex Wood,0,1,3000000,3000000,2021,,,
Brett Anderson,0,1,2500000,2500000,2021,,,
Matt Shoemaker,0,1,2000000,2000000,2021,,,
Collin McHugh,0,1,1800000,1800000,2021,,,
Trevor Cahill,0,1,1500000,1500000,2021,,,
Gerrit Cole,1,9,324000000,36000000,2020,,,
Stephen Strasburg,1,7,245000000,35000000,2020,,,
Zack Wheeler,1,5,118000000,23600000,2020,,,
Madison Bumgarner,1,5,85000000,17000000,2020,,,
Hyun-Jin Ryu,0,4,80000000,20000000,2020,,,
Dallas Keuchel,0,3,55500000,18500000,2020,,,
Drew Pomeranz,0,4,34000000,8500000,2020,,,
Kyle Gibson,0,3,27999999,9333333,2020,,,
Tanner Roark,0,2,24000000,12000000,2020,,,
Michael Pineda,0,2,20000000,10000000,2020,,,
Cole Hamels,0,1,18000000,18000000,2020,,,
Jake Odorizzi,1,1,17800000,17800000,2020,,,
Wade Miley,0,2,15000000,7500000,2020,,,
Rick Porcello,0,1,10000000,10000000,2020,,,
Julio Teheran,0,1,9000000,9000000,2020,,,
Homer Bailey,0,1,7000000,7000000,2020,,,
Martin Perez,0,1,6000000,6000000,2020,,,
Gio Gonzalez,0,1,5000000,5000000,2020,,,
Brett Anderson,0,1,5000000,5000000,2020,,,
Adam Wainwright,0,1,5000000,5000000,2020,,,
Alex Wood,0,1,4000000,4000000,2020,,,
Drew Smyly,0,1,4000000,4000000,2020,,,
Rich Hill,0,1,3000000,3000000,2020,,,
Michael Wacha,0,1,3000000,3000000,2020,,,
Ivan Nova,0,1,1500000,1500000,2020,,,
Collin McHugh,0,1,600000,600000,2020,,,
Zack Wheeler,0,3,126000000,42000000,2025,,,
Michael Wacha,0,3,51000000,17000000,2025,,,
Reynaldo López,0,3,30000000,10000000,2025,,,
Tyler Glasnow,0,5,136562500,27312500,2024,,,
Chris Sale,0,2,38000000,19000000,2024,,,
Germán Márquez,0,2,20000000,10000000,2024,,,
Colin Rea,0,1,4500000,4500000,2024,,,
Yu Darvish,0,6,108000000,18000000,2023,,,
Joe Musgrove,0,5,100000000,20000000,2023,,,
Miles Mikolas,0,3,55749999,18583333,2023,,,
Charlie Morton,0,1,20000000,20000000,2023,,,
