Player,Team,Year,WARP,Age,DRA,GS,IPGS,ERA,RA9,FIP,WHIP,K,BB,KBB,Whiff,Swing,OSwing,ZSwing,OContact,ZContact,Contact,Zone,CSProb,Strike,Ball,FStrike,CStr,FAWhiff,CUWhiff,SLWhiff,CHWhiff,QO,Length,Total,AAV
Michael Wacha,TB,2021,0.9,29,4.8,23,5.42,5.05,5.27,4.52,1.31,22.9,5.9,17.0,23.1,53.5,38.2,74.8,64.9,85.4,76.9,41.8,0.58,48.7,32.4,68.8,13.9,17.8,44.8,15.0,34.1,0.0,1.0,7000000.0,7000000.0
Drew Smyly,ATL,2021,0.7,32,5.04,23,5.51,4.48,4.9,5.04,1.37,21.4,7.5,13.9,25.1,49.3,33.7,71.6,56.9,87.0,74.9,41.1,0.58,48.1,33.9,64.7,16.2,14.0,38.8,22.5,0.0,0.0,1.0,5250000.0,5250000.0
Corey Kluber,NYY,2021,0.6,35,4.86,16,5.0,3.83,4.16,3.9,1.34,24.0,9.7,14.4,28.2,46.9,33.7,66.7,51.7,87.1,71.8,39.9,0.52,47.3,36.2,64.5,16.7,10.2,0.0,32.1,40.2,0.0,1.0,8000000.0,8000000.0
Tyler Anderson,2TM,2021,0.5,31,5.23,31,5.39,4.53,4.69,4.34,1.25,19.1,5.4,13.7,23.3,53.6,37.0,74.4,68.5,81.8,76.7,44.5,0.57,49.0,30.7,68.8,15.2,20.9,0.0,22.4,28.9,0.0,1.0,8000000.0,8000000.0
Danny Duffy,KC,2021,0.3,32,5.07,12,5.08,2.51,2.8,3.45,1.21,25.8,8.7,17.1,29.2,48.5,37.0,67.5,59.7,80.9,70.8,37.6,0.52,47.1,36.6,57.1,14.8,24.3,31.0,39.3,37.3,0.0,1.0,3000000.0,3000000.0
Garrett Richards,BOS,2021,0.2,33,5.33,22,6.21,4.87,5.66,4.77,1.6,18.6,9.7,8.9,22.4,48.9,30.8,72.5,58.7,88.1,77.6,43.3,0.58,45.7,35.6,59.3,15.5,17.7,32.7,26.6,26.4,0.0,1.0,5500000.0,5500000.0
Rich Hill,2TM,2021,0.2,41,5.38,31,5.12,3.86,3.97,4.34,1.21,22.7,8.3,14.4,23.4,45.8,31.3,63.1,64.1,84.1,76.6,45.6,0.57,49.0,33.3,62.2,20.5,23.2,24.2,10.3,31.0,0.0,1.0,5000000.0,5000000.0
Michael Pineda,MIN,2021,0.1,32,5.39,21,5.2,3.62,4.03,4.26,1.23,19.2,4.6,14.6,22.1,51.3,37.2,71.8,63.8,88.4,77.9,40.8,0.57,48.7,30.9,69.7,17.4,14.5,0.0,37.8,17.9,0.0,1.0,5500000.0,5500000.0
Dylan Bundy,LAA,2021,0.0,28,5.49,19,4.77,6.06,6.35,5.56,1.36,21.2,8.6,12.6,23.1,44.4,31.6,61.7,61.5,87.7,76.9,42.3,0.57,47.2,34.9,57.4,20.4,16.8,23.3,36.2,27.8,0.0,1.0,5000000.0,5000000.0
Martin Perez,BOS,2021,-0.7,30,6.05,22,5.18,4.74,5.61,4.87,1.51,19.1,7.1,12.0,19.4,46.1,31.2,69.2,71.6,86.9,80.6,39.2,0.53,44.4,35.9,62.5,18.1,11.7,28.3,14.5,32.5,0.0,1.0,4000000.0,4000000.0
Zach Davies,CHC,2021,-1.2,28,6.2,32,4.63,5.78,6.02,5.37,1.6,17.1,11.2,5.8,22.5,42.9,29.8,69.1,64.8,88.4,77.5,33.4,0.5,41.8,39.9,52.2,16.9,10.0,20.6,6.8,36.9,0.0,1.0,1750000.0,1750000.0
