Player,Team,Year,WARP,Age,DRA,GS,IPGS,ERA,RA9,FIP,WHIP,K,BB,KBB,Whiff,Swing,OSwing,ZSwing,OContact,ZContact,Contact,Zone,CSProb,Strike,Ball,FStrike,CStr,FAWhiff,CUWhiff,SLWhiff,CHWhiff,QO,Length,Total,AAV
Clayton Kershaw,LAD,2023,2.0,35,4.3,24,5.49,2.46,2.67,4.07,1.06,26.2,7.6,18.5,28.0,49.3,36.3,68.8,56.1,84.4,72.0,40.1,0.48,49.0,34.0,68.5,16.5,9.7,33.8,36.2,46.2,0.0,2.0,10000000.0,5000000.0
Marcus Stroman,CHC,2023,2.0,32,4.39,25,5.47,3.95,4.48,3.61,1.26,20.7,9.0,11.7,22.4,44.8,31.3,67.3,63.9,88.2,77.6,37.3,0.47,43.6,38.2,57.9,16.7,16.9,0.0,28.6,32.9,0.0,2.0,37000000.0,18500000.0
Lucas Giolito,2TM,2023,1.8,28,4.85,33,5.58,4.88,5.37,5.26,1.31,25.7,9.2,16.5,28.8,46.7,32.1,68.3,52.6,84.2,71.2,40.3,0.47,47.5,36.6,61.6,16.6,19.9,20.0,34.7,35.1,0.0,2.0,38500000.0,19250000.0
Chris Sale,BOS,2023,1.8,34,4.19,20,5.14,4.3,4.56,3.79,1.13,29.4,6.8,22.6,29.9,47.9,37.3,63.4,57.8,80.7,70.1,40.6,0.47,49.6,34.6,63.8,17.2,22.7,0.0,39.1,32.4,0.0,2.0,38000000.0,19000000.0
Colin Rea,MIL,2023,1.6,32,4.65,22,5.67,4.55,4.69,4.94,1.19,21.3,7.4,13.9,24.1,47.9,31.7,68.5,60.2,85.2,75.9,44.0,0.51,47.6,34.2,64.2,18.0,19.4,22.1,31.3,18.4,0.0,1.0,4500000.0,4500000.0
Eduardo Rodriguez,DET,2023,1.5,30,4.88,26,5.87,3.3,3.48,3.65,1.15,23.0,7.7,15.3,24.1,47.6,32.0,68.9,64.2,83.3,75.9,42.2,0.5,48.2,34.5,61.8,17.7,20.9,0.0,24.7,31.7,0.0,4.0,80000000.0,20000000.0
James Paxton,BOS,2023,1.5,34,4.36,19,5.05,4.5,4.78,4.67,1.31,24.6,8.0,16.5,27.5,49.9,34.4,71.9,57.0,83.0,72.5,41.2,0.48,48.3,35.5,59.9,14.5,21.6,38.2,32.9,46.7,0.0,1.0,7000000.0,7000000.0
Kenta Maeda,MIN,2023,1.4,35,4.57,20,5.22,4.23,4.31,4.01,1.17,27.3,6.5,20.8,28.3,48.5,34.9,70.0,54.4,85.4,71.7,38.7,0.47,47.9,35.6,61.7,15.8,22.9,6.3,27.6,35.1,0.0,2.0,24000000.0,12000000.0
Jordan Montgomery,2TM,2023,1.3,30,5.1,32,5.9,3.2,3.58,3.58,1.19,21.4,6.2,15.2,26.0,47.4,33.7,68.4,61.0,83.9,74.0,39.5,0.47,45.1,35.8,64.6,16.6,15.3,37.2,31.0,39.1,0.0,1.0,25000000.0,25000000.0
Michael Wacha,SD,2023,1.2,31,4.92,24,5.6,3.22,3.28,3.93,1.16,22.4,7.8,14.6,24.6,47.7,33.1,67.9,62.0,84.4,75.4,42.1,0.5,47.6,35.2,61.8,17.0,14.7,27.0,16.5,35.8,0.0,2.0,32000000.0,16000000.0
Jack Flaherty,2TM,2023,1.1,27,5.09,27,5.34,4.99,5.18,4.38,1.58,22.8,10.2,12.6,26.7,43.8,30.4,65.9,60.4,83.1,73.3,37.8,0.45,45.3,38.6,58.9,17.5,20.7,40.2,26.5,9.1,0.0,1.0,14000000.0,14000000.0
Michael Lorenzen,2TM,2023,0.9,31,5.23,25,6.12,4.18,4.47,4.47,1.21,17.8,7.5,10.3,21.7,49.4,33.7,69.8,66.0,86.1,78.3,43.5,0.5,46.2,34.2,66.8,16.3,13.3,18.2,27.2,31.5,0.0,1.0,4500000.0,4500000.0
Lance Lynn,2TM,2023,0.9,36,5.37,32,5.74,5.73,6.22,5.54,1.39,23.6,8.3,15.3,28.7,49.8,32.6,75.6,57.9,79.9,71.3,39.9,0.46,46.6,36.3,64.2,13.7,28.6,30.6,28.5,29.8,0.0,1.0,11000000.0,11000000.0
Luis Severino,NYY,2023,0.4,29,5.37,18,4.96,6.65,7.35,6.14,1.65,18.9,8.2,10.8,20.7,51.3,33.3,74.1,71.4,83.8,79.3,44.2,0.49,48.2,33.6,65.9,14.9,19.8,0.0,21.7,21.7,0.0,1.0,13000000.0,13000000.0
Wade Miley,MIL,2023,0.4,36,5.48,23,5.23,3.14,3.29,4.73,1.14,16.1,7.8,8.4,19.0,44.7,29.7,67.7,70.2,88.2,81.0,39.6,0.48,43.6,36.9,60.4,18.1,13.4,30.0,19.2,23.9,0.0,1.0,8500000.0,8500000.0
Mike Clevinger,CWS,2023,-0.1,32,5.83,24,5.47,3.77,3.84,4.27,1.23,20.0,7.3,12.8,23.2,49.0,32.6,70.6,60.8,86.5,76.8,43.2,0.49,47.0,34.4,63.6,16.6,17.5,20.0,29.3,29.5,0.0,1.0,3000000.0,3000000.0
Justin Verlander,HOU,2022,4.3,39,3.08,28,6.25,1.75,2.21,2.44,0.83,27.8,4.4,23.4,24.3,53.6,36.8,75.4,64.1,83.1,75.7,43.5,0.55,51.4,31.5,62.0,14.9,18.1,24.0,34.6,38.5,0.0,2.0,86666666.0,43333333.0
Carlos Rodon,SF,2022,3.7,29,3.43,31,5.74,2.88,2.98,2.31,1.03,33.4,7.3,26.1,31.3,49.7,35.3,69.9,57.5,76.7,68.7,41.6,0.56,52.3,33.7,61.5,16.4,27.9,23.5,38.9,50.0,1.0,6.0,162000000.0,27000000.0
Yu Darvish,SD,2022,3.6,35,3.6,30,6.49,3.1,3.1,3.37,0.95,25.6,4.8,20.8,25.2,49.5,34.4,66.6,59.8,83.5,74.8,47.1,0.59,50.2,32.2,64.2,18.2,20.0,30.8,25.3,39.8,0.0,6.0,108000000.0,18000000.0
Joe Musgrove,SD,2022,3.5,29,3.53,30,6.03,2.93,3.33,3.64,1.08,24.9,5.7,19.2,25.6,46.5,35.9,60.6,60.6,85.4,74.4,42.6,0.54,48.7,33.7,64.5,19.8,19.7,32.9,26.9,25.8,0.0,5.0,100000000.0,20000000.0
Miles Mikolas,STL,2022,2.9,33,3.97,32,6.32,3.29,3.6,3.93,1.03,19.0,4.8,14.2,18.6,48.6,31.6,68.8,69.1,88.1,81.4,45.7,0.58,47.4,33.4,63.5,17.7,17.8,18.9,21.6,9.5,0.0,3.0,55749999.0,18583333.0
Chris Bassitt,NYM,2022,2.8,33,3.89,30,6.06,3.42,3.52,3.71,1.14,22.4,6.6,15.8,23.6,46.2,30.1,65.3,67.4,81.3,76.4,45.8,0.57,47.8,34.4,60.5,19.2,19.4,26.4,28.8,17.7,1.0,3.0,63000000.0,21000000.0
Charlie Morton,ATL,2022,2.6,38,3.9,31,5.55,4.34,4.45,4.31,1.23,28.2,8.7,19.5,29.2,45.5,33.0,63.5,51.9,85.0,70.8,40.9,0.53,48.7,36.1,58.7,18.3,17.5,41.8,29.4,35.3,0.0,1.0,20000000.0,20000000.0
Merrill Kelly,AZ,2022,2.6,33,4.12,33,6.07,3.37,3.46,3.71,1.14,22.0,7.6,14.4,23.6,48.4,33.1,68.9,65.5,83.4,76.4,42.7,0.54,47.1,34.5,62.3,17.0,21.0,28.1,50.0,28.8,0.0,2.0,18000000.0,9000000.0
Clayton Kershaw,LAD,2022,2.5,34,3.41,22,5.74,2.28,2.56,2.62,0.94,27.8,4.7,23.1,29.3,50.1,37.8,68.0,53.1,85.1,70.7,40.6,0.55,49.9,32.1,68.6,17.1,10.0,44.1,37.8,20.0,0.0,1.0,20000000.0,20000000.0
Nathan Eovaldi,BOS,2022,2.3,32,3.41,20,5.47,3.87,4.53,4.25,1.23,22.4,4.3,18.0,25.4,52.4,36.5,73.5,58.8,85.1,74.6,43.0,0.55,49.1,31.6,68.0,15.9,16.5,34.0,18.8,39.3,1.0,2.0,34000000.0,17000000.0
Jacob deGrom,NYM,2022,1.9,34,2.65,11,5.85,3.08,3.08,2.19,0.75,42.7,3.3,39.3,41.9,54.4,41.9,73.9,42.7,71.7,58.1,39.2,0.5,55.6,30.8,69.9,14.4,29.2,42.9,54.3,47.1,1.0,5.0,185000000.0,37000000.0
Corey Kluber,TB,2022,1.9,36,4.22,31,5.29,4.34,4.5,3.52,1.21,20.2,3.0,17.1,23.8,50.9,37.5,68.5,63.3,85.3,76.2,43.4,0.55,48.3,30.5,67.8,18.3,9.9,0.0,26.7,33.8,0.0,1.0,10000000.0,10000000.0
Taijuan Walker,NYM,2022,1.8,29,4.19,29,5.42,3.49,3.6,3.7,1.19,20.3,6.9,13.4,23.5,47.1,34.3,66.6,64.3,85.9,76.5,39.7,0.53,45.3,36.1,62.7,16.7,17.7,27.3,24.4,28.9,0.0,4.0,72000000.0,18000000.0
Kyle Gibson,PHI,2022,1.8,34,4.26,31,5.41,5.05,5.26,4.33,1.34,20.1,6.7,13.4,25.1,48.2,34.5,69.4,58.5,87.4,74.9,39.3,0.52,44.9,36.2,58.9,15.3,18.5,32.4,29.1,27.7,0.0,1.0,10000000.0,10000000.0
Jameson Taillon,NYY,2022,1.7,30,4.35,32,5.54,3.91,3.96,3.89,1.13,20.7,4.4,16.3,23.1,48.9,34.3,71.4,63.2,87.1,76.9,39.4,0.53,46.4,34.4,63.0,16.5,20.1,31.4,25.7,18.5,0.0,4.0,68000000.0,17000000.0
Tyler Anderson,LAD,2022,1.5,32,4.45,28,6.38,2.57,2.87,3.36,1.0,19.5,4.8,14.7,24.4,52.4,38.7,70.8,62.8,85.1,75.6,42.5,0.56,48.5,31.1,66.1,16.2,17.4,50.0,18.3,37.1,1.0,3.0,39000000.0,13000000.0
Andrew Heaney,LAD,2022,1.4,31,3.53,14,5.19,3.1,4.21,3.8,1.09,35.5,6.1,29.4,36.1,50.7,39.2,67.7,47.6,78.0,63.9,40.3,0.51,52.8,33.2,67.7,15.7,30.7,0.0,44.7,36.7,0.0,2.0,25000000.0,12500000.0
Martin Perez,TEX,2022,1.3,31,4.63,32,6.13,2.89,3.21,3.21,1.26,20.6,8.4,12.2,21.1,44.4,31.1,67.2,70.9,85.3,78.9,36.6,0.48,44.0,36.7,62.2,18.8,12.6,19.4,17.5,33.6,1.0,1.0,19650000.0,19650000.0
Adam Wainwright,STL,2022,1.1,40,4.71,32,5.99,3.71,3.76,3.72,1.28,17.8,6.7,11.1,16.9,43.4,29.2,62.9,71.8,90.5,83.1,42.0,0.57,45.5,35.4,62.6,21.2,10.1,22.1,17.9,19.2,0.0,1.0,17500000.0,17500000.0
Michael Wacha,BOS,2022,1.1,30,4.47,23,5.53,3.32,3.46,4.09,1.12,20.2,6.0,14.2,20.7,50.5,33.6,73.5,67.5,86.6,79.3,42.3,0.55,46.3,34.4,60.8,15.1,11.9,21.9,14.9,34.9,0.0,4.0,26000000.0,6500000.0
